Transaction_ID,Date,SKU_ID,Product_Name,Category_L1,Category_L2,Category_L3,Unit_Price,Unit_Cost,Quantity_Sold,Total_Sale_Amount,Discount_Applied,Promotion_ID,Payment_Method,Store_ID,Store_Location,Region,Stock_On_Hand,Customer_ID
TXN000012,2021-06-27,SKU003,Elegant Belts Ago,Accessories,Belts,Seasonal,116.64,83.37,6,699.84,0.0,,Credit Card,STR002,Cassandraton,West,66,43cf2fde-2493-4b83-b577-50a9a491f0b2
TXN000013,2023-03-26,SKU013,Bohemian Earrings Wait,Jewelry,Earrings,Formal,51.73,30.9,7,362.11,,PROMO005,UPI,STR005,Lake Chad,West,95,
TXN000014,2022-01-15,SKU028,Luxurious Dresses Sense,Clothing,Dresses,Seasonal,165.04,130.94,6,990.24,0.0,,UPI,STR002,Cassandraton,West,39,
TXN000015,2023-09-27,SKU027,Elegant Boots Decide,Footwear,Boots,Casual,,37.38,5,278.85,0.0,,Cash,STR006,Port Keith,South,49,
TXN000016,2020-12-22,SKU040,Stylish Scarves Song,Accessories,Scarves,Formal,176.15,92.06,9,1585.35,0.0,,Credit Card,STR010,Jacquelineland,Northeast,75,
TXN000017,2021-10-21,SKU030,Stylish Fragrances Science,Beauty,Fragrances,Formal,186.49,135.5,4,745.96,0.0,,UPI,STR008,Ramirezstad,South,95,8fb5d27b-beb7-4919-bf22-faf823bed01d
TXN000018,2020-06-22,SKU019,Classic Dresses All,Clothing,Dresses,Seasonal,160.5,100.58,10,1605.0,0.0,,UPI,STR009,West Michael,Northeast,87,
TXN000019,2024-07-09,SKU013,Bohemian Earrings Wait,Jewelry,Earrings,Formal,51.73,30.9,4,206.92,,,UPI,STR003,Herrerafurt,South,59,
TXN000020,2023-07-13,SKU037,Vintage Handbags Table,Accessories,Handbags,Casual,77.32,48.2,7,541.24,0.0,,Credit Card,STR004,New Kellystad,Midwest,1,
TXN000021,2024-10-28,SKU050,Chic Fragrances Great,Beauty,Fragrances,Seasonal,187.59,105.29,7,1313.13,0.0,,UPI,STR015,Adamsborough,South,60,95a76d79-bf3c-4c06-8343-08bc89fa6a68
TXN000022,2021-05-25,SKU008,Modern Necklaces Chair,Jewelry,Necklaces,Seasonal,167.59,114.89,8,1340.72,0.0,,Gift Card,STR008,Ramirezstad,South,97,
TXN000023,2023-06-08,SKU047,bohemian makeup clearly,Beauty,Makeup,Casual,25.22,14.02,9,226.98,0.0,,Cash,STR015,Adamsborough,South,58,663f1c97-9562-49f0-a5d7-b8756dadd6c7
TXN000024,2021-05-21,SKU041,Bohemian Makeup Sure,Beauty,Makeup,Casual,168.85,133.51,9,1519.65,0.0,,Credit Card,STR005,Lake Chad,West,92,ff5e9ff0-ff50-4de4-b825-67b85cabcc97
TXN000025,2021-07-10,SKU022,Trendy Sneakers Early,Footwear,Sneakers,Formal,65.77,36.01,2,131.54,4.63,PROMO002,UPI,STR006,Port Keith,South,0,
TXN000026,2023-01-16,SKU030,stylish fragrances science,Beauty,Fragrances,Formal,186.49,135.5,7,1305.43,0.0,,UPI,STR007,Port Jesseville,Midwest,3,
TXN000027,2024-04-16,SKU037,Vintage Handbags Table,Accessories,Handbags,Casual,77.32,48.2,6,463.92,7.81,PROMO004,Credit Card,STR007,Port Jesseville,Midwest,78,
TXN000028,2022-09-26,SKU015,Stylish Fragrances Begin,Beauty,Fragrances,Formal,134.53,83.23,1,134.53,0.0,,UPI,STR005,Lake Chad,West,93,1745d6d8-7e57-4ddf-8270-50a82369b584
TXN000029,2022-08-15,SKU009,Trendy Sneakers Since,Footwear,Sneakers,Casual,18.71,10.63,7,130.97,0.0,,UPI,STR010,Jacquelineland,Northeast,0,
TXN000030,2024-11-10,SKU030,Stylish Fragrances Science,Beauty,Fragrances,Formal,186.49,135.5,7,1305.43,9.1,PROMO003,UPI,STR003,Herrerafurt,South,97,
TXN000031,2022-05-13,SKU017,Vintage Sneakers Knowledge,Footwear,Sneakers,Seasonal,180.59,111.93,1,180.59,0.0,,Cash,STR014,East Lydiamouth,West,29,
TXN000032,2024-05-18,SKU042,Luxurious Handbags Collection,Accessories,Handbags,Formal,101.46,77.05,4,405.84,0.42,PROMO002,Credit Card,STR001,North Noahstad,South,15,
TXN000033,2021-03-22,SKU030,Stylish Fragrances Science,Beauty,Fragrances,Formal,186.49,135.5,6,1118.94,,PROMO001,UPI,STR012, South Noah ,Northeast,40,1c11f735-dc71-4d96-8c0f-d195c17af08a
TXN000034,2020-02-22,SKU020,Minimalist Tops Better,Clothing,Tops,Formal,,131.26,7,1394.82,0.0,,UPI,STR010,Jacquelineland,Northeast,0,
TXN000035,2023-07-08,SKU016,Classic Necklaces Performance,Jewelry,Necklaces,Formal,56.86,38.01,5,284.3,0.0,,UPI,STR002,Cassandraton,West,73,
TXN000036,2021-12-12,SKU035,Luxurious Scarves Perform,Accessories,Scarves,Seasonal,,27.36,2,101.4,0.0,,Credit Card,STR007,Port Jesseville,Midwest,63,cac5b68c-28f4-4481-a0a0-4dc427209bdf
TXN000037,2022-01-11,SKU041,Bohemian Makeup Sure,Beauty,Makeup,Casual,168.85,133.51,3,506.55,0.0,,UPI,STR015,Adamsborough,South,35,
TXN000038,2023-01-07,SKU050,Chic Fragrances Great,Beauty,Fragrances,Seasonal,0.01,105.29,10,1875.9,0.0,,UPI,STR008,Ramirezstad,South,12,10435a10-98ae-4334-ac12-ace8ae340454
TXN000039,2022-07-12,SKU016,Classic Necklaces Performance,Jewelry,Necklaces,Formal,56.86,38.01,10,670.29,0.0,,Credit Card,STR013,Lake Mark,Northeast,42,ff01cf99-988c-44c9-a1b1-cd2262801c45
TXN000040,2021-03-10,SKU023,Modern Pants Mouth,Clothing,Pants,Seasonal,,141.83,6,1167.96,0.0,,UPI,N/A,Lake Mark,Northeast,2,
TXN000041,2021-01-26,SKU006,Vintage Sandals Election,Footwear,Sandals,Casual,28.38,21.41,8,227.04,0.0,,Credit Card,STR004,New Kellystad,Midwest,92,
TXN000042,2024-06-11,SKU002,Vintage Makeup Brother,Beauty,Makeup,Seasonal,16.04,8.47,7,112.28,0.0,,Credit Card,STR002,Cassandraton,West,61,
TXN000043,2021-12-05,SKU028,Luxurious Dresses Sense,Clothing,Dresses,Seasonal,165.04,130.94,6,990.24,0.0,,Credit Card,STR012,South Noah,Northeast,16,
TXN000044,2021-10-08,SKU008,Modzrn Necklaces Chair,Jewelry,Necklaces,Seasonal,167.59,114.89,3,502.77,14.77,PROMO003,UPI,STR012,South Noah,Northeast,68,
TXN000045,2020-07-24,SKU013,Bohemian Earrings Wait,Jewelry,Earrings,Formal,51.73,30.9,3,155.19,0.0,,UPI,STR005,Lake Chad,West,6,
TXN000046,2023-02-07,SKU019,Classic Dresses All,Clothing,Dresses,Seasonal,160.5,100.58,8,1284.0,0.26,PROMO003,Credit Card,STR012,South Noah,Northeast,24,
TXN000047,2021-06-01,SKU031,Vintage Belts Offer,Accessories,Belts,Formal,199.08,138.35,7,1570.73,0.0,,Credit Card,STR002,Cassandraton,West,20,f89897b9-405c-4cec-8774-09a977d21e02
TXN000048,2023-02-26,SKU020,Minimalist Tops Better,Clothing,Tops,Formal,,131.26,2,398.52,0.0,,Credit Card,STR002,Cassandraton,West,80,02f06b90-f143-462f-9c5c-0eed8da0365b
TXN000049,2022-12-06,SKU025,Classic Handbags Agreement,Accessories,Handbags,Formal,112.48,82.51,5,562.4,0.0,,Gift Card,STR008,Ramirezstad,South,80,ae849217-1d53-434b-b881-39b9ae270da7
TXN000050,2024-02-24,SKU007,Luxurious Skincare Dog,Beauty,Skincare,Casual,111.88,88.6,4,447.52,0.0,,Cash,STR013,Lake Mark,Northeast,71,444ea7c8-c039-4710-8976-e334e2817efd
TXN000051,2020-01-06,SKU027,Elegant Boots Decide,Footwear,Boots,Casual,55.77,37.38,8,446.16,0.0,,Credit Card,STR008,Ramirezstad,South,90,
TXN000052,2020-05-25,SKU044,Bohemian Earrings Knowledge,Jewelry,Earrings,Formal,135.76,87.7,10,1357.6,0.0,,Gift Card,STR004,New Kellystad,Midwest,70,1c8eaee9-5715-4d6f-a416-1293c4c2e2e3
TXN000053,2020-11-01,SKU018,Luxurious Handbags Almost,Accessories,Handbags,Seasonal,27.27,14.02,1,27.27,6.16,PROMO005,Gift Card,STR014,East Lydiamouth,West,60,
TXN000054,2023-12-04,SKU026,Chic Makeup Option,Beauty,Makeup,Seasonal,102.84,54.87,8,822.72,0.0,,Credit Card,STR005,,West,95,
TXN000055,2021-05-27,SKU002,Vintage Makeup Brother,Beauty,Makeup,Seasonal,16.04,8.47,10,160.4,0.0,,Cash,STR002,Cassandraton,West,35,
TXN000056,2024-04-11,SKU049,Minimalist Makeup Source,Beauty,Makeup,Seasonal,17.55,9.21,8,140.4,0.0,,Cash,STR003,Herrerafurt,South,82,
TXN000057,2020-07-05,SKU031,Vintage Belts Offer,Accessories,Belts,Formal,199.08,138.35,6,1194.48,0.0,,UPI,STR006,Port Keith,South,89,
TXN000058,2023-09-18,SKU026,Chic Makeup Option,Beauty,Makeup,Seasonal,102.84,54.87,1,102.84,0.0,,Credit Card,STR014,,West,99,
TXN000059,2022-11-19,SKU001,stylish pants purpose,Clothing,Pants,Formal,52.41,37.78,8,419.28,0.0,,Cash,STR011,New Jessica,Midwest,97,
TXN000060,2022-06-24,SKU049,Minimalist Makeup Source,Beauty,Makeup,Seasonal,17.55,9.21,9,157.95,5.77,PROMO004,Cash,STR001,north noahstad,South,78,
TXN000061,2023-12-24,SKU011,Chic Sandals Require,Footwear,Sandals,Formal,49.81,28.89,9,448.29,0.0,,Credit Card,STR005,,West,15,
TXN000062,2020-08-28,SKU042,luxurious handbags collection,Accessories,Handbags,Formal,101.46,77.05,5,507.3,0.0,,Credit Card,STR014,East Lydiamouth,West,61,74273ca3-287d-46ca-af4c-c69a4b22d308
TXN000063,2023-02-02,SKU010,Trendy Sandals Blue,Footwear,Sandals,Casual,82.22,52.29,10,822.2,0.0,,UPI,STR007,Port Jesseville,Midwest,36,
TXN000064,2024-10-15,SKU027,Elegant Boots Decide,Footwear,Boots,Casual,55.77,37.38,9,501.93,0.0,,Cash,STR006,Port Keith,South,76,
TXN000065,2023-09-13,SKU032,Trendy Bracelets Kind,Jewelry,Bracelets,Formal,57.1,29.65,9,513.9,0.0,,Credit Card,STR014,East Lydiamouth,West,49,
TXN000066,2021-10-21,SKU013,Bohemian Earrings Wait,Jewelry,Earrings,Formal,51.73,30.9,7,362.11,0.0,,UPI,STR012,SOUTH NOAH,Northeast,0,
TXN000067,2023-12-15,SKU025,classic handbags agreement,Accessories,Handbags,Formal,112.48,82.51,3,337.44,,,Cash,STR007,Port Jesseville,Midwest,76,
TXN000068,2020-07-24,SKU029,Luxurious Makeup Rate,Beauty,Makeup,Casual,189.9,104.36,8,1519.2,2.89,PROMO002,Cash,STR002,Cassandraton,West,34,
TXN000069,2023-11-19,SKU026,Chic Makeup Option,Beauty,Makeup,Seasonal,102.84,54.87,6,617.04,0.0,,UPI,STR011,New Jessica,Midwest,41,
TXN000070,2024-12-22,SKU049,Minimalist Makeup Source,Beauty,Makeup,Seasonal,17.55,9.21,1,17.55,0.0,,Credit Card,STR008,Ramirezstad,South,37,
TXN000071,2024-03-09,SKU006,Vintage Sandals Election,Footwear,Sandals,Casual,28.38,21.41,2,56.76,0.0,,UPI,STR007,Port Jesseville,Midwest,6,
TXN000072,2020-04-24,SKU019,Classic Dresses All,Clothing,Dresses,Seasonal,160.5,100.58,4,642.0,8.25,PROMO002,Cash,STR006,Port Keith,South,0,
TXN000073,2023-06-23,SKU044,Bohemian Earrings Knowledge,Jewelry,Earrings,Formal,135.76,87.7,10,1357.6,9.23,PROMO003,Credit Card,STR004,New Kellystad,Midwest,60,
TXN000074,2023-10-19,SKU035,Luxurious Scarves Perform,Accessories,Scarves,Seasonal,50.7,27.36,6,312.27,0.0,,Credit Card,STR003,Herrerafurt,South,89,e037e5ed-b8db-4672-b42d-47cc00d4af59
TXN000075,2024-09-27,SKU020,Minimalist Tops Better,Clothings,Tops,Formal,199.26,131.26,8,1594.08,7.63,PROMO003,Credit Card,STR004,,Midwest,38,8026695f-f8cd-488b-836d-76e2b83cfe0b
TXN000076,2024-08-26,SKU043,Elegant Dresses Save,Clothing,Dresses,Formal,197.21,114.3,10,1972.1,0.0,,UPI,STR007,Port Jesseville,Midwest,78,
TXN000077,2024-09-01,SKU019,Classic Dresses All,Clothing,Dresses,Seasonal,160.5,100.58,10,1605.0,0.0,,Credit Card,STR013,Lake Mark,Northeast,33,
TXN000078,2024-01-16,SKU050,Chic Fragrances Great,Beauty,Fragrances,Seasonal,187.59,105.29,3,562.77,0.0,,Gift Card,STR011,New Jessica,Midwest,40,
TXN000079,03/09/2020,SKU038, Trendy Pants True ,Clothing,Pants,Seasonal,21.52,15.46,5,107.6,0.0,,Credit Card,STR006,Port Keith,South,70,
TXN000080,2022-01-19,SKU034,Elegant Dresses List,Clothing,Dresses,Casual,173.33,90.35,3,519.99,0.0,,UPI,STR009,West Michael,Northeast,38,
TXN000081,2021-11-24,SKU008,Modern Necklaces Chair,Jewelry,Necklaces,Seasonal,167.59,114.89,3,502.77,0.0,,Credit Card,STR008,Ramirezstad,South,87,
TXN000082,2024-09-28,SKU036,Stylish Fragrances Fall,Beauty,Fragrances,Formal,159.08,118.08,7,1113.56,10.74,PROMO004,Credit Card,STR006, Port Keith ,South,34,
TXN000083,2024-08-11,SKU041,Bohemian Makeup Sure,Beauty,Makeup,Casual,168.85,133.51,4,675.4,0.0,,UPI,STR006,Port Keith,South,42,
TXN000084,2021-03-29,SKU042,Luxurious Handbags Collection,Accessories,Handbags,Formal,101.46,77.05,8,811.68,0.0,,Credit Card,STR002,Cassandraton,West,18,e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e
TXN000085,2020-03-17,SKU020,Minimalist Tops Bztter,Clothing,Tops,Formal,199.26,131.26,5,996.3,0.0,,Cash,STR008,Ramirezstad,South,86,
TXN000086,2023-11-27,SKU035,Luxurious Scarves Perform,Accessories,Scarves,Seasonal,50.7,27.36,3,152.1,0.0,,UPI,STR007,Port Jesseville,Midwest,79,
TXN000087,2021-07-26,SKU003,Elegant Belts Ago,Accessories,Belts,Seasonal,116.64,83.37,8,933.12,0.0,,Credit Card,STR012,South Noah,Northeast,88,
TXN000088,2023-08-13,SKU023,Modern Pants Mouth,Clothing,Pants,Seasonal,194.66,141.83,4,778.64,0.0,,Gift Card,STR001,North Noahstad,South,12,
TXN000089,2023-08-07,SKU041,Bohemian Makeup Sure,Beauty,Makeup,Casual,,133.51,1,168.85,0.0,,Credit Card,STR010,Jacquelineland,Northeast,73,4c66e0a8-a013-4c6e-9eda-4e161b3dbd5c
TXN000090,2024-08-26,SKU049,Minimalist Makzup Source,Beautys,Makeup,Seasonal,17.55,9.21,4,70.2,0.0,,Credit Card,STR009,West Michael,Northeast,77,9be578c7-81f6-41d4-a392-31a7d777a477
TXN000091,2024-10-24,SKU010,Trendy Sandals Blue,Footwear,Sandals,Casual,82.22,52.29,3,246.66,17.33,PROMO002,Cash,STR003,Herrerafurt,South,31,
TXN000092,2020-02-02,SKU012,Classic Pants Sit,Clothing,Pants,Seasonal,111.49,63.93,7,780.43,0.0,,UPI,STR005,Lake Chad,West,100,
TXN000093,2023-04-30,SKU007,Luxurious Skincare Dog,Beauty,Skincare,Casual,111.88,88.6,10,1118.8,15.67,PROMO005,Credit Card,STR008,Ramirezstad,South,4,c333e861-5fb8-416c-a720-797d32ebd689
TXN000094,2022-09-07,SKU026,Chic Makeup Option,Beauty,Makeup,Seasonal,102.84,54.87,8,822.72,0.0,,Credit Card,STR007,Port Jesseville,Midwest,42,
TXN000095,2020-05-14,SKU009,Trendy Sneakers Since,Footwear,Sneakers,Casual,18.71,10.63,10,187.1,0.0,,Credit Card,STR005,Lake Chad,West,68,c754108f-f418-4f3f-8a14-be62295b4715
TXN000096,2022-11-01,SKU039,Stylish Dresses According,Clothing,Dresses,Casual,,60.65,2,223.78,0.0,,UPI,STR007,Port Jesseville,Midwest,93,
TXN000097,2022-05-30,SKU029,Luxurious Makeup Rate,Beauty,Makeup,Casual,,104.36,6,1139.4,0.0,,Credit Card,STR015,Adamsborough,South,41,
TXN000098,2023-09-24,SKU017,Vintage Sneakers Knowledge,Footwear,Sneakers,Seasonal,180.59,111.93,8,1444.72,16.64,PROMO001,Credit Card,STR006,Port Keith,South,48,
TXN000099,2023-02-13,SKU004,Luxurious Skincare Site,Beauty,Skincare,Casual,121.96,90.6,9,1097.64,0.0,,Cash,STR010,Jacquelineland,Northeast,86,
TXN000100,2022-05-16,SKU047,Bohemian Makeup Clearly,Beauty,Makeup,Casual,25.22,14.02,10,252.2,0.0,,Cash,STR001,North Noahstad,South,20,
TXN000101,2021-04-04,SKU007,Luxurious Skincare Dog,Beauty,Skincare,Casual,111.88,88.6,6,671.28,5.58,PROMO002,UPI,STR006,Port Keith,South,99,
TXN000102,2023-06-10,SKU044,Bohemian Earrings Knowledge,Jewelry,Earrings,Formal,,87.7,10,1357.6,0.0,,UPI,STR011,New Jessica,Midwest,24,00257ad1-eb22-43dd-87c5-421eec24a3c5
TXN000103,2024-04-10,SKU020,Minimalist Tops Better,Clothing,Tops,Formal,199.26,131.26,2,398.52,2.87,PROMO004,Cash,STR015,Adamsborough,South,4,04fc6d82-7d15-4385-92fb-e43b99546eb4
TXN000104,2022-12-22,SKU014,Chic Dresses Offer,Clothing,Dresses,Casual,86.22,44.82,6,517.32,6.24,PROMO003,UPI,STR007,Port Jesseville,Midwest,11,
TXN000105,2020-11-14,SKU011,Chic Sandals Require,Footwear,Sandals,Formal,49.81,28.89,2,99.62,13.24,PROMO004,UPI,STR013,Lake Mark,Northeast,28,
TXN000106,2020-08-21,SKU023,Modzrn Pants Mouth,Clothing,Pants,Seasonal,0.01,141.83,10,1946.6,0.0,,UPI,STR007,Port Jesseville,Midwest,0,
TXN000107,2023-05-12,SKU004,Luxurious Skincare Site,Beauty,Skincare,Casual,121.96,90.6,4,487.84,0.0,,UPI,STR001,North_Noahstad,South,16,e0f3eab0-5cec-4eb5-add9-68311ca35cfb
TXN000108,2024-03-09,SKU028,Luxurious Dresses Sense,Clothing,Dresses,Seasonal,,130.94,10,1650.4,0.0,,Credit Card,STR003,Herrerafurt,South,46,4eb93eff-ce88-4b2d-94e8-0839fc3e058b
TXN000109,2024-10-30,SKU048,Stylish Makeup Dinner,Beauty,Makeup,Seasonal,86.72,67.86,8,693.76,0.0,,UPI,STR001,North Noahstad,South,74,
TXN000110,2023-08-04,SKU027,Elegant Boots Decide,Footwear,Boots,Casual,55.77,37.38,1,55.77,0.0,,Cash,STR005,Lake Chad,West,59,
TXN000111,2022-01-11,SKU006,Vintage Sandals Election,Footwear,Sandals,Casual,28.38,21.41,4,113.52,0.0,,Credit Card,STR007,Port Jesseville,Midwest,0,
TXN000112,2024-03-07,SKU022,Trendy Sneakers Early,Footwear,Sneakers,Formal,65.77,36.01,4,263.08,12.67,PROMO005,Credit Card,STR004,New Kellystad,Midwest,45,
TXN000113,2024-08-04,SKU042,Luxurious Handbags Collection,Accessories,Handbags,Formal,101.46,77.05,2,202.92,3.95,PROMO005,Cash,STR014,,West,10,e0c53cb8-3da9-42a9-8ed4-2f1a3d4cbf37
TXN000114,2024-05-01,SKU041,Bohemian Makeup Sure,Beauty,Makeup,Casual,168.85,133.51,10,1688.5,0.0,,Credit Card,STR008,Ramirezstad,South,73,
TXN000115,2023-07-03,SKU021,Trendy Makeup Discover,Beauty,Makeup,Seasonal,139.52,92.24,6,743.57,1.38,PROMO004,UPI,STR014,East Lydiamouth,West,76,15ed6269-1429-4c07-b26b-4776913e4de2
TXN000116,2022-11-05,SKU005,Vintage Dresses Face,Clothing,Dresses,Seasonal,74.65,40.81,1,74.65,16.64,PROMO001,UPI,STR005,Lake Chad,West,12,
TXN000117,2022-11-04,SKU025,Classic Handbags Agreement,Accessories,Handbags,Formal,112.48,82.51,1,112.48,,,UPI,STR008, Ramirezstad ,South,42,
TXN000118,2022-10-23,SKU010,Trendy Sandals Blue,Footwear,Sandals,Casual,82.22,52.29,6,493.32,0.0,,Cash,STR001,North Noahstad,South,6,11b7e948-d0e6-4660-bc69-dee1bb5e4bcf
TXN000119,2022-06-15,SKU029,Luxurious Makeup Rate,Beauty,Makeup,Casual,189.9,104.36,3,569.7,0.0,,Gift Card,STR009,West Michael,Northeast,100,
TXN000120,2023-05-09,SKU004,Luxurious Skincarz Site,Beauty,Skincare,Casual,,90.6,6,731.76,1.9,PROMO004,Credit Card,STR013,Lake Mark,Northeast,85,
TXN000121,2023-05-19,SKU010,Trendy Sandals Blue,Footwear,Sandals,Casual,82.22,52.29,3,246.66,0.0,,Credit Card,STR006,Port Keith,South,85,
TXN000122,2023-05-03,SKU046,Minimalist Sandals Fall,Footwear,Sandals,Casual,100.59,78.04,7,704.13,0.0,,Credit Card,STR002,Cassandraton,West,90,
TXN000123,2024-02-22,SKU044,Bohemian Earrings Knowledge,Jewelry,Earrings,Formal,135.76,87.7,7,950.32,0.0,,Cash,STR015,Adamsborough,South,28,
TXN000124,2024-04-18,SKU032,Trendy Bracelets Kind,Jewelry,Bracelets,Formal,57.1,29.65,3,156.55,5.92,PROMO001,Credit Card,STR004,New Kellystad,Midwest,95,
TXN000125,03/18/2020,SKU043,Elegant Dresses Save,Clothing,Dresses,Formal,197.21,114.3,10,1972.1,0.0,,Cash,STR006,Port Keith,South,99,
TXN000126,2020-12-05,SKU047,Bohemian Makeup Clearly,Beauty,Makeup,Casual,25.22,14.02,6,151.32,0.0,,Credit Card,STR008,Ramirezstad,South,37,
TXN000127,2024-05-24,SKU029,Luxurious Makeup Rate,Beauty,Makeup,Casual,189.9,104.36,5,949.5,0.0,,UPI,STR004,New Kellystad,Midwest,25,
TXN000128,2023-03-14,SKU029,Luxurious Makeup Rate,Beauty,Makeup,Casual,189.9,104.36,7,1488.93,0.0,,Credit Card,STR008,Ramirezstad,South,26,
TXN000129,2020-10-10,SKU017,Vintage Sneakers Knowledge,Footwear,Sneakers,Seasonal,180.59,111.93,6,1083.54,0.0,,Cash,STR001,North Noahstad,South,16,c40db9b4-885f-4e66-82b6-d2c5fa5d3100
TXN000130,2024-04-11,SKU011,Chic Sandals Require,Footwear,Sandals,Formal,49.81,28.89,10,498.1,8.76,PROMO002,UPI,STR005,Lake Chad,West,4,
TXN000131,2022-03-22,SKU033,Stylish Pants Discussion,Clothing,Pants,Seasonal,121.8,61.16,3,365.4,0.0,,Cash,STR006,Port_Keith,South,92,
TXN000132,2024-06-08,SKU010,Trendy Sandals Blue,Footwear,Sandals,Casual,,52.29,8,657.76,0.0,,Cash,STR003,Herrerafurt,South,58,
TXN000133,2020-06-11,SKU002,Vintage Makeup Brother,Beauty,Makeup,Seasonal,16.04,8.47,3,48.12,0.0,,UPI,STR005,Lake Chad,West,15,
TXN000134,2021-05-01,SKU020,Minimalist Tops Better,Clothing,Tops,Formal,199.26,131.26,7,1394.82,0.0,,UPI,STR002,Cassandraton,West,0,
TXN000135,2022-10-20,SKU039,Stylish Dresses According,Clothing,Dresses,Casual,111.89,60.65,19,2125.91,0.0,,UPI,STR009,West Michael,Northeast,1,
TXN000136,2021-05-07,SKU037,Vintage Handbags Table,Accessories,Handbags,Casual,,48.2,2,154.64,0.0,,Credit Card,STR007,,Midwest,70,
TXN000137,2022-11-05,SKU036,Stylish Fragrances Fall,Beauty,Fragrances,Formal,159.08,118.08,8,1272.64,,PROMO003,Credit Card,STR001,north noahstad,South,0,
TXN000138,2021-12-07,SKU016,Classic Necklaces Performance,Jewelry,Necklaces,Formal,56.86,38.01,2,113.72,0.0,,UPI,STR012,South Noah,Northeast,6,
TXN000139,2021-11-24,SKU042,Luxurious Handbags Collection,Accessories,Handbags,Formal,101.46,77.05,8,811.68,0.0,,Credit Card,STR003,,South,18,79ac1b1e-a8e5-4e0c-a0de-435d2031d750
TXN000140,2024-05-08,SKU030,Stylish Fragrances Science,Beauty,Fragrances,Formal,186.49,135.5,1,186.49,0.0,,UPI,STR001,North Noahstad,South,40,
TXN000141,2024-07-27,SKU035,Luxurious Scarves Perform,Accessoriess,Scarves,Seasonal,50.7,27.36,4,202.8,0.0,,UPI,STR008,Ramirezstad,South,0,
TXN000142,07/13/2021,SKU008,Modern Necklaces Chair,Jewelry,Necklaces,Seasonal,167.59,114.89,7,1173.13,0.0,,UPI,STR013,Lake Mark,Northeast,24,
TXN000143,2022-10-15,SKU024,Modern Makeup Play,Beauty,Makeup,Seasonal,169.92,110.84,5,849.6,0.0,,UPI,STR015,Adamsborough,South,0,
TXN000144,2024-08-11,SKU012,Classic Pants Sit,Clothing,Pants,Seasonal,111.49,63.93,2,222.98,,PROMO003,Credit Card,STR009,West Michael,Northeast,22,
TXN000145,2021-12-20,SKU029,Luxurious Makeup Rate,Beauty,Makeup,Casual,189.9,104.36,6,1139.4,0.0,,Credit Card,STR001,North Noahstad,South,8,43dac043-2a45-42ab-8cbf-edb0f264accc
TXN000146,2023-07-29,SKU026,Chic Makeup Option,Beauty,Makeup,Seasonal,102.84,54.87,3,308.52,0.0,,Cash,STR006,Port Keith,South,57,6c52c49f-9b49-4d26-9f57-c59a8715a103
TXN000147,2020-05-17,SKU016,Classic Necklaces Performance,Jewelry,Necklaces,Formal,56.86,38.01,6,341.16,0.0,,Credit Card,STR013,Lake Mark,Northeast,87,
